1,What is the main purpose of encapsulation in Java?,To hide data,To show data,To delete data,To copy data,A,Encapsulation hides the internal state of an object and requires all interaction to be performed through methods,OOP Concepts,,
2,Which access modifier provides the most restrictive access?,public,protected,private,default,C,Private access modifier restricts access to within the same class only,Access modifiers,,
3,What is inheritance in Java?,Creating new objects,Acquiring properties of parent class,Deleting objects,Copying objects,B,Inheritance allows a class to acquire properties and methods of another class,OOP Concepts,,
4,Which keyword is used to inherit a class in Java?,implements,extends,inherits,super,B,The extends keyword is used to inherit from a class,OOP Concepts,,
5,What is polymorphism?,One name multiple forms,Multiple names one form,No names,Same name same form,A,Polymorphism allows one interface to be used for a general class of actions,OOP Concepts,,
6,Which collection maintains insertion order?,HashSet,TreeSet,LinkedHashSet,None,C,LinkedHashSet maintains the insertion order of elements,Collections,,
7,What is the default size of ArrayList?,5,10,15,16,B,ArrayList has a default initial capacity of 10,Collections,,
8,Which interface represents a collection that does not allow duplicates?,List,Set,Queue,Map,B,Set interface does not allow duplicate elements,Collections,,
9,What is a generic in Java?,Type safety,No type safety,Runtime error,Compilation error,A,Generics provide type safety at compile time,Generics,,
10,Which symbol is used to define generics?,[],(),<>,{},C,Angle brackets <> are used to define generic types,Generics,,
11,What is a lambda expression?,Anonymous function,Named function,Class method,Interface method,A,Lambda expressions represent anonymous functions,Lambda Expression,,
12,Which operator is used in lambda expressions?,->,=>,::,->,A,Arrow operator (->) is used in lambda expressions,Lambda Expression,,
13,What is the Singleton design pattern?,Multiple instances,Single instance,No instances,Variable instances,B,Singleton ensures only one instance of a class exists,Design patterns,,
14,Which pattern is used to create objects?,Observer,Factory,Strategy,Command,B,Factory pattern is used for object creation,Design patterns,,
15,What happens when an exception is not handled?,Program continues,Program terminates,Nothing happens,Compilation error,B,Unhandled exceptions cause program termination,Exception Handling,,
16,Which block is always executed in exception handling?,try,catch,finally,throw,C,Finally block always executes regardless of exception,Exception Handling,,
17,What is the superclass of all exception classes?,Exception,Error,Throwable,RuntimeException,C,Throwable is the superclass of all exceptions and errors,Exception Handling,,
18,Which access modifier allows access within package and subclasses?,public,private,protected,default,C,Protected allows access within package and to subclasses,Access modifiers,,
19,What is method overloading?,"Same method name, different parameters","Same method name, same parameters","Different method name, same parameters","Different method name, different parameters",A,Method overloading uses same name with different parameters,OOP Concepts,,
20,What is method overriding?,Redefining method in subclass,Creating new method,Deleting method,Copying method,A,Method overriding redefines a method in the subclass,OOP Concepts,,
