218,What is deadlock in Java concurrency?,"A situation where two or more threads are blocked forever, each waiting for the other to release a resource",A method to stop all threads,A way to speed up thread execution,A type of thread pool,A,"Deadlock occurs when two or more threads are blocked indefinitely, each waiting for the other to release a resource. For example, Thread A holds Resource 1 and waits for Resource 2, while Thread B holds Resource 2 and waits for Resource 1. This creates a circular dependency that prevents progress.",Concurrency,,
219,What is the purpose of the volatile keyword in Java?,To make variables faster,To ensure visibility of changes to variables across threads,To create new threads,To synchronize methods,B,"The volatile keyword ensures that changes to a variable are visible to all threads immediately. It prevents thread-local caching of the variable and provides a happens-before relationship. However, volatile alone doesn't provide atomicity for compound operations like increment.",Concurrency,,
220,What is the difference between ExecutorService and ThreadPoolExecutor?,"ExecutorService is an interface, ThreadPoolExecutor is a concrete implementation",They are the same thing,"ExecutorService is a class, ThreadPoolExecutor is an interface",ExecutorService is deprecated,A,"ExecutorService is an interface that provides methods for managing and controlling thread execution. ThreadPoolExecutor is a concrete implementation of ExecutorService that provides a flexible thread pool with configurable core size, maximum size, keep-alive time, and work queue.",Concurrency,,
221,What is the purpose of the join() method in Thread class?,To combine two threads into one,To wait for a thread to complete before continuing,To start a thread,To stop a thread,B,"The join() method allows one thread to wait for another thread to complete its execution. When thread A calls threadB.join(), thread A will block until thread B finishes. This is useful for ensuring that dependent operations complete in the correct order.",Concurrency,,
222,What happens when a thread calls wait() method?,The thread continues execution,The thread releases the lock and goes into waiting state until notified,The thread terminates,The thread sleeps for a specified time,B,"When a thread calls wait(), it releases the object's monitor lock and enters the waiting state. The thread remains in this state until another thread calls notify() or notifyAll() on the same object, or until the optional timeout expires. The thread must reacquire the lock before continuing execution.",Concurrency,,
223,What is the difference between notify() and notifyAll() methods?,"notify() wakes up one waiting thread, notifyAll() wakes up all waiting threads",They are identical methods,"notify() wakes up all threads, notifyAll() wakes up one thread",Both methods stop threads,A,"notify() wakes up only one arbitrary thread that is waiting on the object's monitor, while notifyAll() wakes up all threads waiting on the object's monitor. Using notifyAll() is generally safer as it avoids the risk of missing notifications, but notify() can be more efficient when you know only one thread should proceed.",Concurrency,,
224,What is the main difference between String and StringBuffer?,"String is mutable, StringBuffer is immutable","String is immutable, StringBuffer is mutable",Both are mutable,Both are immutable,B,"String objects are immutable (cannot be changed after creation), while StringBuffer objects are mutable (can be modified after creation). This makes StringBuffer more efficient for multiple string modifications.",Java basics,,
225,Which method is used to append text to a StringBuffer?,add(),append(),concat(),insert(),B,"The append() method is used to add text to the end of a StringBuffer. It returns the same StringBuffer object, allowing method chaining like sb.append('Hello').append(' World').",Java basics,,
226,What is the difference between StringBuffer and StringBuilder?,"StringBuffer is synchronized, StringBuilder is not","StringBuilder is synchronized, StringBuffer is not",Both are synchronized,Neither is synchronized,A,"StringBuffer methods are synchronized (thread-safe), making it slower but safe for multi-threaded environments. StringBuilder is not synchronized, making it faster but not thread-safe.",Java basics,,
227,Which method returns the current capacity of a StringBuffer?,size(),length(),capacity(),maxSize(),C,"The capacity() method returns the current capacity (allocated space) of the StringBuffer, while length() returns the number of characters currently stored. Capacity is usually larger than length to allow for growth.",Java basics,,
228,What happens when a StringBuffer exceeds its capacity?,Throws an exception,Automatically increases capacity,Data is truncated,Nothing happens,B,"When a StringBuffer exceeds its current capacity, it automatically increases the capacity (usually doubles it plus 2) to accommodate the new data. This process is called automatic expansion.",Java basics,,
229,Which method is used to remove characters from a StringBuffer?,remove(),delete(),clear(),erase(),B,"The delete(int start, int end) method removes characters from the specified start index (inclusive) to end index (exclusive). There's also deleteCharAt(int index) to remove a single character.",Java basics,,
230,What is the purpose of the Iterator interface in Java?,To create objects,To provide a way to access elements of a collection sequentially,To sort collections,To compare objects,B,"Iterator interface provides a standard way to traverse (access elements sequentially) through collections like ArrayList, HashSet, etc., without exposing the underlying implementation details.",Collections,,
231,Which method checks if there are more elements in an Iterator?,hasNext(),hasMore(),next(),available(),A,"The hasNext() method returns true if there are more elements to iterate over, false otherwise. It should be called before next() to avoid NoSuchElementException.",Collections,,
232,What does the next() method do in an Iterator?,Returns the current element,Returns the next element and advances the iterator,Checks if next element exists,Skips the next element,B,"The next() method returns the next element in the iteration and advances the iterator position. If no more elements exist, it throws NoSuchElementException.",Collections,,
233,Which method is used to remove an element during iteration?,delete(),remove(),erase(),clear(),B,The remove() method removes the last element returned by next() from the underlying collection. It can only be called once per call to next() and must be called after next().,Collections,,
234,What exception is thrown when calling next() on an Iterator with no more elements?,IllegalStateException,IndexOutOfBoundsException,NoSuchElementException,NullPointerException,C,NoSuchElementException is thrown when next() is called on an Iterator that has no more elements. Always use hasNext() to check before calling next().,Collections,,
235,Which type of Iterator allows bidirectional traversal?,Iterator,ListIterator,BidirectionalIterator,ReverseIterator,B,"ListIterator extends Iterator and provides bidirectional traversal with additional methods like hasPrevious(), previous(), and the ability to add/set elements during iteration.",Collections,,
236,What is the advantage of using Iterator over index-based loops?,Iterator is faster,Iterator works with all Collection types,Iterator uses less memory,Iterator is easier to write,B,"Iterator works uniformly with all Collection implementations (ArrayList, LinkedList, HashSet, etc.), while index-based access only works with indexed collections like List implementations.",Collections,,
237,Can you modify a collection while iterating with a regular for-each loop?,"Yes, always safe","No, throws ConcurrentModificationException","Yes, but only additions","Yes, but only deletions",B,Modifying a collection during for-each iteration (except through Iterator.remove()) throws ConcurrentModificationException. Use Iterator.remove() for safe removal during iteration.,Collections,,
238,What is the difference between fail-fast and fail-safe iterators?,"Fail-fast detects concurrent modification, fail-safe doesn't","Fail-safe detects concurrent modification, fail-fast doesn't",Both detect concurrent modification,Neither detects concurrent modification,A,"Fail-fast iterators (like those from ArrayList, HashMap) immediately throw ConcurrentModificationException if collection is modified during iteration. Fail-safe iterators (like ConcurrentHashMap) work on a copy and don't throw exceptions.",Collections,,
239,Which StringBuffer method is used to reverse the contents?,reverse(),flip(),invert(),backwards(),A,"The reverse() method reverses the sequence of characters in the StringBuffer. For example, 'Hello' becomes 'olleH'. It modifies the StringBuffer in place and returns the same object for method chaining.",Java basics,,
240,Which method is specific to ArrayList and not part of the List interface?,trimToSize(),add(),remove(),get(),A,trimToSize() is specific to ArrayList and reduces the capacity of the ArrayList to its current size. This method is not part of the List interface but is an ArrayList-specific optimization method.,Collections,,
241,Which method is specific to LinkedList for adding elements at the beginning?,addFirst(),add(),insert(),prepend(),A,addFirst() is specific to LinkedList (implements Deque) and adds an element at the beginning of the list. This method is not available in ArrayList as it doesn't implement Deque interface.,Collections,,
242,Which method is specific to HashSet for checking the load factor?,getLoadFactor(),loadFactor(),capacity(),No such method exists,D,"HashSet doesn't provide a public method to check the load factor. The load factor is an internal parameter used for rehashing, but it's not exposed through public methods in HashSet.",Collections,,
243,Which method is specific to TreeSet for getting elements in a range?,subSet(),range(),between(),filter(),A,"subSet(E fromElement, E toElement) is specific to TreeSet (implements NavigableSet) and returns a view of the portion of the set whose elements range from fromElement to toElement. This method is not available in HashSet.",Collections,,
244,Which method is specific to HashMap for checking if it contains a specific value efficiently?,containsValue(),hasValue(),findValue(),searchValue(),A,"containsValue() is available in HashMap but it's not efficient (O(n) time complexity) as it requires scanning all values. HashMap is optimized for key-based operations, not value-based operations.",Collections,,
245,Which method is specific to TreeMap for getting the first (lowest) key?,firstKey(),getFirst(),minKey(),lowestKey(),A,firstKey() is specific to TreeMap (implements NavigableMap) and returns the first (lowest) key in the map. This method is not available in HashMap as it doesn't maintain order.,Collections,,
246,Which method is specific to PriorityQueue for examining the head without removing it?,peek(),front(),head(),top(),A,"peek() is part of the Queue interface and returns the head of the queue without removing it. In PriorityQueue, this returns the element with highest priority according to the comparator or natural ordering.",Collections,,
247,Which method is specific to ArrayDeque for adding elements at both ends?,addFirst() and addLast(),pushFront() and pushBack(),insertFirst() and insertLast(),prependAdd() and appendAdd(),A,addFirst() and addLast() are methods from the Deque interface implemented by ArrayDeque. These methods allow efficient addition of elements at both ends of the deque.,Collections,,
248,Which LinkedList method removes and returns the first element?,removeFirst(),deleteFirst(),popFirst(),extractFirst(),A,removeFirst() is specific to LinkedList (implements Deque) and removes and returns the first element. This method throws NoSuchElementException if the list is empty.,Collections,,
249,Which TreeSet method returns the greatest element less than the given element?,lower(),previous(),before(),smaller(),A,"lower(E e) is specific to TreeSet (implements NavigableSet) and returns the greatest element strictly less than the given element, or null if no such element exists.",Collections,,
250,Which Vector method is synchronized and specific to Vector class?,addElement(),add(),insert(),append(),A,"addElement() is a legacy method specific to Vector class that adds an element to the end. While Vector's add() method is also synchronized, addElement() is Vector-specific and not part of the List interface.",Collections,,
251,Which LinkedHashSet characteristic makes it different from HashSet?,Maintains insertion order,Faster access,Smaller memory footprint,Automatic sorting,A,"LinkedHashSet maintains the insertion order of elements using a doubly-linked list, while HashSet doesn't guarantee any order. This makes LinkedHashSet useful when you need a Set with predictable iteration order.",Collections,,
252,Which method is specific to EnumSet for creating sets with enum ranges?,range(),between(),from(),of(),A,"EnumSet.range(E from, E to) creates an enum set containing all elements in the range from 'from' to 'to' inclusive. This is specific to EnumSet and works only with enum types.",Collections,,
253,Which method is specific to WeakHashMap for manual garbage collection triggering?,No such method exists,gc(),cleanup(),purge(),A,WeakHashMap doesn't provide a public method to manually trigger cleanup of stale entries. The cleanup happens automatically during normal operations when weak references are garbage collected.,Collections,,
254,Which Hashtable method is synchronized and legacy-specific?,elements(),values(),getValues(),allValues(),A,"elements() is a legacy method specific to Hashtable that returns an enumeration of values. While values() is the preferred method, elements() is Hashtable-specific and synchronized.",Collections,,
255,Which method is specific to ConcurrentHashMap for atomic operations?,putIfAbsent(),addIfMissing(),insertIfEmpty(),setIfNull(),A,"putIfAbsent(K key, V value) is specific to ConcurrentHashMap and atomically puts a value only if the key is not already present. This method is thread-safe and returns the previous value or null.",Collections,,
256,What will be the output of this code?,"x = 5, y = 5","x = 6, y = 5","x = 6, y = 6",Compilation error,C,The pre-increment operator ++x increments x first (making it 6) then returns the new value. So y gets the value 6. Both x and y will be 6.,Java Programming,coding,images/code-question-256.jpg
257,Which OOP principle allows a subclass to provide a specific implementation of a method that is already defined in its parent class?,Encapsulation,Inheritance,Polymorphism,Abstraction,C,"Polymorphism allows a subclass to override methods from the parent class, providing specific implementations. This is achieved through method overriding at runtime.",OOP Concepts,,
