1,What does JVM stand for?,Java Virtual Manager,Incorrect,Java Virtual Machine,Java Variable Manager,C,"JVM stands for Java Virtual Machine, which is responsible for executing Java bytecode.",Java Fundamentals,text,
2,What is the main purpose of the JVM?,Incorrect,To compile Java source code,To manage memory only,To handle user interfaces,B,The JVM provides platform independence by executing Java bytecode on any system that has a JVM installed.,Java Fundamentals,text,
3,What does JDK stand for?,Java Development Kit,Incorrect,Java Design Kit,Java Distribution Kit,A,"JDK stands for Java Development Kit, which includes tools for developing Java applications.",Java Fundamentals,text,
4,What does JRE stand for?,Java Runtime Environment,Incorrect,Java Remote Environment,Java Robust Environment,A,"JRE stands for Java Runtime Environment, which provides the runtime support for Java applications.",Java Fundamentals,text,
5,Which of the following is included in the JDK but not in the JRE?,Incorrect,Java Virtual Machine,Java compiler (javac),Runtime classes,C,"The JDK includes the Java compiler (javac) for compiling source code, while the JRE only contains runtime components.",Java Fundamentals,text,
6,What is bytecode in Java?,Incorrect,Source code written by programmers,Intermediate code that runs on JVM,Compiled native code,C,Bytecode is intermediate code generated by the Java compiler that runs on the Java Virtual Machine.,Java Fundamentals,text,
7,Which feature makes Java platform-independent?,Incorrect,Object-oriented programming,Bytecode and JVM,Strong typing system,C,"Java achieves platform independence through bytecode that runs on the JVM, allowing 'write once, run anywhere'.",Java Fundamentals,text,
8,"What does 'Write Once, Run Anywhere' (WORA) mean in Java?",Code can be written on any text editor,Java bytecode can run on any platform that has a JVM installed,Incorrect,Applications run faster on all platforms,B,WORA means that Java code compiled to bytecode can run on any platform that has a JVM installed.,Java Fundamentals,text,
9,Which of the following is NOT a feature of Java?,Incorrect,Object-oriented,Manual memory management,Multithreading,C,"Java features automatic memory management through garbage collection, not manual memory management.",Java Fundamentals,text,
10,What is garbage collection in Java?,Manual deletion of objects,Automatic memory management system,Compilation process,Code optimization technique,B,Garbage collection is Java's automatic memory management system that reclaims memory used by objects no longer referenced.,Java Fundamentals,text,
